NUMPATH,VALUE
1353,20.9212
1354,21.2048
1355,18.706
1356,19.3947
1357,20.4872
1358,20.3268
1359,21.3434
1360,20.3204
1361,21.0011
1362,21.4377
1363,19.3701
1364,18.0524
1365,21.4712
1366,19.5184
1367,19.0936
1368,19.2182
1369,19.5157
1370,20.0195
1371,20.0349
1372,21.1661
1373,19.3877
1374,21.1831
1375,19.753
1376,22.1303
1377,19.1638
1378,20.044
1379,19.7911
1380,19.3163
1381,21.9122
1382,20.4481
1383,20.2715
1384,19.9423
1385,20.987
1386,19.0107
1387,18.9605
1388,19.7639
1389,19.7496
1390,19.489
1391,20.0927
1392,19.6657
1393,19.8717
1394,20.7699
1395,21.2338
1396,19.517
1397,18.6875
1398,20.236
1399,18.9975
1400,22.1116
1401,18.4439
1402,19.2379
1403,20.2207
1404,19.8002
1405,20.7945
1406,20.7189
1407,20.4594
1408,19.6998
1409,20.3299
1410,18.1814
1411,17.6381
1412,19.3753
1413,19.5704
1414,20.2921
1415,21.1724
1416,20.915
1417,23.3365
1418,20.5374
1419,20.5652
1420,19.5071
1421,19.9464
1422,20.4471
1423,20.1741
1424,22.3552
1425,21.3348
1426,19.6395
1427,20.3246
1428,21.1348
1429,20.9017
1430,20.6038
1431,20.2264
1432,20.6196
1433,21.5268
1434,19.0616
1435,20.9147
1436,21.0206
1437,20.1902
1438,19.8395
1439,19.4805
1440,19.706
1441,18.5852
1442,20.8557
1443,21.0242
1444,19.2483
1445,21.6384
1446,20.0362
1447,20.9846
1448,20.6289
1449,19.225
1450,21.2481
1451,19.6609
1452,20.5724
1453,22.1265
1454,21.712
1455,19.4856
1456,19.4786
1457,20.0933
1458,20.086
1459,20.2414
1460,19.8946
1461,18.3568
1462,20.5546
1463,23.6711
1464,20.4199
1465,19.6164
1466,20.8986
1467,19.8039
1468,18.8616
1469,21.3961
1470,19.0294
1471,20.3695
1472,20.0147
1473,20.2517
1474,18.0111
1475,20.2839
1476,20.9937
1477,20.7552
1478,20.2708
1479,20.845
1480,22.0368
1481,18.4894
1482,19.3593
1483,19.5813
1484,20.1279
1485,17.4748
1486,21.331
1487,21.4521
1488,20.9937
1489,20.1103
1490,19.4367
1491,18.8686
1492,19.0701
1493,19.1426
1494,21.2396
1495,19.2239
1496,20.9085
1497,21.0821
1498,20.5697
1499,19.856
1500,20.2207
1501,17.5446
1502,19.3695
1503,19.2953
1504,20.694
1505,21.5194
1506,18.5739
1507,20.205
1508,20.23
1509,19.1023
1510,20.6249
1511,21.107
1512,19.2022
1513,21.3829
1514,20.8393
1515,20.3997
1516,20.4613
1517,20.5017
1518,20.2376
1519,20.3996
1520,21.3741
1521,20.2179
1522,18.8652
1523,21.2211
1524,18.8275
1525,19.334
1526,21.0971
1527,22.257
1528,21.2779
1529,20.6795
1530,20.1637
1531,20.1506
1532,19.2367
1533,19.7498
1534,21.5782
1535,19.6912
1536,20.3784
1537,21.4477
1538,22.4989
1539,22.1203
1540,18.5169
1541,20.7089
1542,19.1249
1543,22.136
1544,19.9672
1545,19.6887
1546,21.2719
1547,20.5045
1548,19.0912
1549,18.2636
1550,21.3003
1551,21.175
1552,20.5326
1553,19.3831
1554,20.3929
1555,19.5427
1556,19.2943
1557,19.4989
1558,20.3842
1559,19.7878
1560,20.3569
1561,19.8336
1562,19.9704
1563,19.9984
1564,19.4993
1565,20.4854
1566,19.4777
1567,20.7917
1568,21.0239
1569,19.563
1570,20.5384
1571,20.0364
1572,20.7395
1573,20.5302
1574,20.1134
1575,18.8683
1576,19.918
1577,20.0706
1578,19.7874
1579,19.1164
1580,18.5778
1581,19.3141
1582,18.1761
1583,20.9697
1584,19.916
1585,19.7356
1586,20.2554
1587,19.5726
1588,20.3625
1589,20.5502
1590,18.5673
1591,20.3239
1592,19.5471
1593,19.23
1594,20.834
1595,18.5758
1596,19.055
1597,20.1864
1598,21.4378
1599,20.109
1600,21.5614
1601,21.5892
1602,19.0812
1603,21.4304
1604,21.8173
1605,18.5608
1606,19.0094
1607,20.1244
1608,17.7837
1609,21.8691
1610,21.0386
1611,21.5992
1612,19.6936
1613,19.7865
1614,19.7033
1615,19.4907
1616,20.3064
1617,19.3719
1618,21.1676
1619,21.4715
1620,21.5631
1621,22.3829
1622,20.9474
1623,20.8636
1624,22.5269
1625,20.1612
1626,21.3905
1627,20.7474
1628,20.1018
1629,18.8043
1630,19.8619
1631,19.9848
1632,19.2755
1633,21.5995
1634,20.0283
1635,19.1965
1636,19.4104
1637,19.8004
1638,19.5928
1639,19.875
1640,19.3895
1641,19.511
1642,19.8444
1643,22.3343
1644,19.894
1645,20.639
1646,19.6549
1647,19.2911
1648,19.8944
1649,21.0694
1650,20.3514
1651,19.0789
1652,19.6718
1653,19.764
1654,20.2348
1655,20.4436
1656,21.4471
1657,19.1018
1658,21.0801
1659,20.2503
1660,20.4857
1661,19.2947
1662,19.0247
1663,19.7985
1664,20.8199
1665,21.7169
1666,19.4959
1667,19.2357
1668,17.9651
1669,19.8888
1670,19.7456
1671,20.4723
1672,19.2506
1673,21.0934
1674,20.4155
1675,20.3525
1676,19.6346
1677,20.5837
1678,19.1788
1679,19.0481
1680,19.8349
1681,21.3969
1682,19.7423
1683,21.2688
1684,19.7022
1685,21.6301
1686,19.1594
1687,20.7074
1688,18.3245
1689,20.974
1690,21.568
1691,19.2309
1692,20.3281
1693,19.7673
1694,18.7066
1695,21.1161
1696,22.8562
1697,21.0449
1698,21.5613
1699,20.6529
1700,20.4191
1701,20.625
1702,19.8572
1703,20.8916
1704,20.8184
1705,19.4073
1706,19.6365
1707,19.91
1708,20.6346
1709,19.4195
1710,20.0262
1711,20.8439
1712,19.3963
1713,20.1192
1714,19.8792
1715,18.8715
1716,21.7215
1717,20.073
1718,20.4565
1719,18.7548
1720,19.5838
1721,21.8084
1722,19.3942
1723,18.7864
1724,20.4616
1725,17.8142
1726,20.351
1727,20.433
1728,20.7726
1729,20.0856
1730,20.8708
1731,20.251
1732,18.0577
1733,19.4669
1734,20.559
1735,21.6617
1736,19.2597
1737,22.2496
1738,20.5805
1739,20.5972
1740,19.2513
1741,19.6218
1742,20.0589
1743,19.816
1744,19.6576
1745,20.6548
1746,19.5156
1747,19.4843
1748,18.1432
1749,19.8892
1750,18.4523
1751,21.0092
1752,19.6981
1753,18.5416
1754,21.7283
1755,18.3637
1756,19.6741
1757,21.1882
1758,20.3787
1759,19.3335
1760,18.2929
1761,20.983
1762,18.8146
1763,20.887
1764,20.6473
1765,19.4424
1766,21.4394
1767,21.4346
1768,19.4483
1769,21.1263
1770,20.1599
1771,21.3893
1772,20.3246
1773,19.3498
1774,18.6625
1775,21.5203
1776,19.4769
1777,18.3351
1778,20.1766
1779,21.6397
1780,19.3511
1781,19.8991
1782,22.5712
1783,19.7034
1784,20.2827
1785,20.6917
1786,19.8969
1787,19.8602
1788,20.6336
1789,20.4673
1790,20.9532
1791,20.4752
1792,19.2122
1793,20.2183
1794,20.7991
1795,19.79
1796,20.5919
1797,20.3938
1798,19.4521
1799,19.0424
1800,19.6832
1801,20.7572
1802,20.9105
1803,20.6527
1804,18.9002
1805,20.5471
1806,18.894
1807,20.2297
1808,19.902
1809,20.2068
1810,20.3283
1811,21.04
1812,21.0618
1813,19.2911
1814,19.8251
1815,18.783
1816,20.1799
1817,21.3518
1818,21.3382
1819,19.9841
1820,21.8381
1821,18.9565
1822,20.0211
1823,19.7773
1824,19.1768
1825,18.669
1826,19.9224
1827,20.8038
1828,23.2734
1829,21.1107
1830,20.1382
1831,20.711
1832,20.1145
1833,19.2395
1834,18.4267
1835,19.5146
1836,19.8683
1837,19.7631
1838,18.4186
1839,20.8039
1840,21.171
1841,21.236
1842,21.9573
1843,18.8195
1844,19.5966
1845,19.6461
1846,19.9033
1847,19.7148
1848,19.2199
1849,19.5306
1850,20.1975
1851,21.1759
1852,20.9187
1853,20.2346
1854,20.7808
1855,18.6706
1856,20.038
1857,18.5948
1858,20.2452
1859,19.9112
1860,19.0035
1861,19.955
1862,22.2209
1863,18.792
1864,19.9506
1865,22.7433
1866,18.2201
1867,20.9274
1868,19.1451
1869,19.9047
1870,21.7707
1871,18.9662
1872,20.4333
1873,19.7423
1874,19.8047
1875,19.2069
1876,21.5002
1877,19.1143
1878,18.8816
1879,20.1064
1880,19.6795
1881,21.0003
1882,20.4739
1883,19.4064
1884,20.0784
1885,20.4853
1886,19.4577
1887,22.7769
1888,20.5185
1889,21.8179
1890,20.8573
1891,18.0055
1892,20.0406
1893,20.1775
1894,18.6238
1895,18.552
1896,20.1566
